"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Db.viio6(2)"	""	"1"	"1.0"	"1.0"	"4/4"	"130"	"13"	"3"	2.0	"Db"	"I"	""	"vii"	"o"	"6"	"2"	""	false
"viio6"	""	"1"	"3.0"	"3.0"	"4/4"	"130"	"13"	"3"	2.0	"Db"	"I"	""	"vii"	"o"	"6"	""	""	false
"vi6"	""	"2"	"1.0"	"5.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"vi"	""	"6"	""	""	false
"viio6(2)"	""	"2"	"2.0"	"6.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"vii"	"o"	"6"	"2"	""	false
"viio6"	""	"2"	"3.0"	"7.0"	"4/4"	"130"	"13"	"3"	1.5	"Db"	"I"	""	"vii"	"o"	"6"	""	""	false
"V6"	""	"2"	"4.5"	"8.5"	"4/4"	"130"	"13"	"3"	0.5	"Db"	"I"	""	"V"	""	"6"	""	""	false
"I"	""	"3"	"1.0"	"9.0"	"4/4"	"130"	"13"	"3"	2.0	"Db"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"3"	"3.0"	"11.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"V"	""	"6"	""	""	false
"V43"	""	"3"	"4.0"	"12.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	"4"	"1.0"	"13.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"4"	"2.0"	"14.0"	"4/4"	"130"	"13"	"3"	1.0	"Db"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	"4"	"3.0"	"15.0"	"4/4"	"130"	"13"	"3"	0.5	"Db"	"I"	""	"IV"	""	""	""	""	false
"V43"	""	"4"	"3.5"	"15.5"	"4/4"	"130"	"13"	"3"	0.25	"Db"	"I"	""	"V"	""	"43"	""	""	false
"V7"	""	"4"	"3.75"	"15.75"	"4/4"	"130"	"13"	"3"	0.25	"Db"	"I"	""	"V"	""	"7"	""	""	false
