"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".Bb.I"	""	"0"	"1.0"	"1.0"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"I"	""	""	""	""	false
"V6"	""	"1"	"1.0"	"2.0"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"6"	""	""	false
"V2/IV"	""	"1"	"2.5"	"3.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV6"	""	"1"	"3.0"	"4.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"IV"	""	"6"	""	""	false
"ii"	""	"1"	"3.5"	"4.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"ii"	""	""	""	""	false
"I6"	""	"2"	"1.0"	"5.0"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"2"	"2.0"	"6.0"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"V"	""	""	""	""	false
"I"	""	"2"	"3.0"	"7.0"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"I"	""	""	""	""	false
"V43"	""	"3"	"1.0"	"8.0"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"43"	""	""	false
"#viio65/ii"	""	"3"	"2.5"	"9.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	""	"3"	"3.0"	"10.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	"3"	"3.5"	"10.5"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"4"	"2.0"	"12.0"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"I"	""	""	""	""	true
"V6"	""	"4"	"3.5"	"13.5"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"6"	""	""	false
"vi7"	""	"5"	"2.0"	"15.0"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"vi"	""	"7"	""	""	false
"V43/V"	""	"5"	"3.5"	"16.5"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"43"	""	"V"	false
"V7/V"	""	"6"	"2.0"	"18.0"	"3/4"	"130"	"13"	"1"	1.5	"Bb"	"I"	""	"V"	""	"7"	""	"V"	false
"V(9+#74)"	""	"6"	"3.5"	"19.5"	"3/4"	"130"	"13"	"1"	0.25	"Bb"	"I"	""	"V"	""	""	"9+#74"	""	false
"V"	""	"6"	"3.75"	"19.75"	"3/4"	"130"	"13"	"1"	0.25	"Bb"	"I"	""	"V"	""	""	""	""	false
"V\\\\"	""	"7"	"1.0"	"20.0"	"3/4"	"130"	"13"	"1"	3.0	"Bb"	"I"	""	"V"	""	""	""	""	true
"V65/ii"	""	"8"	"1.0"	"23.0"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"V"	""	"65"	""	"ii"	false
"ii"	""	"8"	"2.0"	"24.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"ii"	""	""	""	""	false
"V6/ii"	""	"8"	"2.5"	"24.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"V"	""	"6"	""	"ii"	false
"ii"	""	"8"	"3.0"	"25.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"ii"	""	""	""	""	false
"V2/V"	""	"8"	"3.5"	"25.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"V"	""	"2"	""	"V"	false
"V6(4)"	""	"9"	"1.0"	"26.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"V"	""	"6"	"4"	""	false
"V6"	""	"9"	"1.5"	"26.5"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"9"	"2.5"	"27.5"	"3/4"	"130"	"13"	"1"	1.0	"Bb"	"I"	""	"V"	""	""	""	""	false
"V/vi"	""	"9"	"3.5"	"28.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"V"	""	""	""	"vi"	false
"IV"	""	"10"	"1.0"	"29.0"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"IV"	""	""	""	""	false
"#viio/ii"	""	"10"	"1.5"	"29.5"	"3/4"	"130"	"13"	"1"	0.5	"Bb"	"I"	""	"#vii"	"o"	""	""	"ii"	false
