mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	4	1	C.I	-0.229556	-3.01937	/		C	I		I		I							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	2.0	0.0
1	1	1/2	1/2	3/4	4	1	V43	-0.114778	-3.01937	/		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1.0	2.0	8	8	0.5	0.5	0.5	0.5
2	2	0	0	3/4	4	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	1.75	0.0
2	2	1/4	1/4	3/4	4	1	#viio7/vi	-2.04879	-2.7183	/		C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8.0	8.0	0	1	0.0	0.0	0.25	0.0
2	2	1/2	1/2	3/4	4	1	vi					C	I		vi		vi							m	0	0	3, 0, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
3	3	0	0	3/4	4	1	ii65					C	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2.0	-1.0	0	4	0.0	0.0	1.75	0.0
3	3	1/4	1/4	3/4	4	1	V65/V	-0.292684	-2.9701	/		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	4	0.0	0.0	1.25	0.0
4	4	0	0	3/4	4	1	V(9)	-0.146342	-3.73854	/		C	I		V(9)		V			9				M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.875	0.0
4	4	1/8	1/8	3/4	4	1	V	0	-3.65213	/		C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.25	0.0
4	4	1/4	1/4	3/4	4	1	V7/V	0	-3.10995	/		C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	0.875	0.0
4	4	1/2	1/2	3/4	4	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	8	0.0	0.0	1.0	0.0
