mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0							𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0			
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0						"<font size=""10.6033""/><font face=""Times New Roman""/><b>Allegro ma non tanto</b>"								
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	0									0		
1	1	1	1	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1									0		
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2											
1	1	0	0	0.0		0	0	Dynamic	3/4	2	1	0				p										
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	3									1		
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	4									1		
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5											
1	1	0	0	0.0		0	0	Dynamic	3/4	3	1	0				p										
1	1	0	0	0.0		0	0	Dynamic	3/4	3	1	0				p										
1	1	0	0	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	6									2		
1	1	1	1	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	7									2		
1	1	2	2	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	8											
1	1	0	0	0.0		0	0	Dynamic	3/4	4	1	0				p										
1	1	0	0	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	9									3		
1	1	1	1	1.0		1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	10									3		
1	1	2	2	1.0		1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	11											
2	2	3	3	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	12									4		
2	2	4	4	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	13									4		
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14											
2	2	3	3	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	15									5		
2	2	4	4	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	16									5		
2	2	5	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	17											
2	2	3	3	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	18									6		
2	2	4	4	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	19									6		
2	2	5	5	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	20											
2	2	3	3	1.0		0	0	Chord	3/4	4	1	1/4	1/4	1	21									7		
2	2	4	4	1.0		1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	22									7		
2	2	5	5	1.0		1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	23											
3	3	6	6	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	24									8		
3	3	7	7	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	25									8		
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	26											
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	27									9		
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28									9		
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29											
3	3	6	6	1.0		0	0	Chord	3/4	3	1	1/4	1/4	1	30									10		
3	3	7	7	1.0		1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	31									10		
3	3	8	8	1.0		1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	32											
