mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0						"<b><font size=""10.6033""/><font face=""Times New Roman""/>Assai sostenuto</b>"									
1	1	0	0	0.0	0	0	Dynamic	2/2	4	1	0				pp											
1	1	0	0	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	0										0		
1	1	2	2	2.0	1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	1										0		
2	2	6	6	0.0	1/2	1/2	Dynamic	2/2	2	1	0				pp											
2	2	6	6	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	2										1		
2	2	4	4	0.0	0	0	Dynamic	2/2	3	1	0				pp											
2	2	4	4	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	3										2		
2	2	6	6	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	4												
2	2	4	4	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	5										0		
2	2	6	6	2.0	1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	6												
3	3	8	8	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	7										3		
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	8										3		
3	3	8	8	0.0	0	0	Dynamic	2/2	2	1	0				pp									1		
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	9										1		
3	3	10	10	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	10												
3	3	8	8	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	11										4		
3	3	10	10	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	12										4		
4	4	12	12	0.0	0	0	Spanner	2/2	1	1	0													3	0	
4	4	12	12	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	13										3	0	
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	1	1	0														0	0
4	4	14	14	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	14											0	0
4	4	12	12	0.0	0	0	Spanner	2/2	2	1	0														1	
4	4	12	12	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	15										5	1	
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	2	1	0														1	1
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	16											1	1
4	4	12	12	0.0	0	0	Spanner	2/2	3	1	0													4	2	
4	4	12	12	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	17										4	2	
4	4	14	14	0.0	1/2	1/2	Spanner	2/2	3	1	0														2	2
4	4	14	14	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	18											2	2
5	5	16	16	0.0	0	0	Dynamic	2/2	1	1	0				pp											
5	5	16	16	0.0	0	0	Spanner	2/2	1	1	0															
5	5	16	16	0.0	0	0	Spanner	2/2	1	1	0															
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	19										6		
5	5	18	18	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	20										6		
5	5	16	16	0.0	0	0	Dynamic	2/2	2	1	0				pp											
5	5	16	16	0.0	0	0	Spanner	2/2	2	1	0															
5	5	16	16	0.0	0	0	Spanner	2/2	2	1	0															
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	21										7		
5	5	18	18	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	22										7		
5	5	16	16	0.0	0	0	Dynamic	2/2	3	1	0				pp											
5	5	16	16	0.0	0	0	Spanner	2/2	3	1	0															
5	5	16	16	0.0	0	0	Spanner	2/2	3	1	0															
5	5	16	16	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	23										8		
5	5	18	18	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	24												
5	5	16	16	0.0	0	0	Dynamic	2/2	4	1	0				pp											
5	5	16	16	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	25										9		
5	5	18	18	2.0	1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	26										9		
6	6	20	20	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	27										6		
6	6	22	22	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	28												
6	6	20	20	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	29										7		
6	6	22	22	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	30												
6	6	20	20	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	31										10		
6	6	22	22	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	32												
6	6	20	20	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	33										9		
6	6	22	22	2.0	1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	34												
7	7	24	24	0.0	0	0	Spanner	2/2	1	1	0														3	
7	7	24	24	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	35										11	3	
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	1	1	0															
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	1	1	0															3
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	36												3
7	7	24	24	0.0	0	0	Spanner	2/2	2	1	0														4	
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	37										12	4	
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	2	1	0															
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	2	1	0															4
7	7	26	26	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	38												4
7	7	24	24	0.0	0	0	Spanner	2/2	3	1	0														5	
7	7	24	24	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	39										13	5	
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	3	1	0															
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	3	1	0															5
