mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	44									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	45									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	46									
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	47									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	48									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	49									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	50									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	51									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	52									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	53									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	54									
3	3	8	8	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	55							1		
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	56									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	57		articStaccatoBelow							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	58		articStaccatoBelow							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	59							2		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	60							2		
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	61									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	62									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	63									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	64									
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	65									
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	66									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	67									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	68									
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	69									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	70									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	71									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	72									
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	73									
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	74									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	75									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	76									
4	4	12	12	4.0	0	0	Chord	4/4	4	1	1			1	1	77									
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	78									
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	79									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	80									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	81									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	82									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	83									
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	84									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	85									
5	5	16	16	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	86									
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	87									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	88									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	89									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	90									
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	91									
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	92									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	93									
5	5	16	16	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	94							3		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	95							3		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	96							3		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	97									
6	6	20	20	0.0	0	0	StaffText	4/4	2	1	0								<i>cresc.</i>						
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	98									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	99									
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	100									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	101									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	102									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	103									
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	104									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	105									
6	6	20	20	0.0	0	0	StaffText	4/4	3	1	0								<i>cresc.</i>						
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	106									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	107									
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	108									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	109									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	110									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	111									
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	112									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	113									
6	6	20	20	0.0	0	0	StaffText	4/4	4	1	0								<i>cresc.</i>						
6	6	20	20	3.0	0	0	Chord	4/4	4	1	3/4			1/2	3/2	114							4		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	115							4		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	116									
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	117									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	118									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	119									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	120									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	121									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	122									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	123									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	124									
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	125									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	126									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	127									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	128									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	129									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	130									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	131									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	132									
7	7	24	24	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	133							5		
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	134									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	135		articStaccatoAbove							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	136		articStaccatoAbove							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	137		articStaccatoAbove					6		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	138		articStaccatoAbove							
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	139									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	140									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	141									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	142									
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	143									
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	144									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	145									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	146									
8	8	28	28	0.0	0	0	Dynamic	4/4	3	1	0						p								
8	8	28	28	0.0	0	0	Dynamic	4/4	3	1	0						p								
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	147									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	148									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	149									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	150									
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	151									
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	152									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	153									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	154									
8	8	28	28	0.0	0	0	Dynamic	4/4	4	1	0						p								
8	8	28	28	4.0	0	0	Chord	4/4	4	1	1			1	1	155									
9	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0						p								
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0								"<font size=""12""/><i>e dolce.</i>"						
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	156							7		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	157							7		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	158							7		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	159									
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	160									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	161									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	162									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	163									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	164									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	165									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	166									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	167									
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	168									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	169									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	170									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	171									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	172									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	173									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	174									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	175									
9	9	32	32	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	176									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	177									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	178									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	179									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	180									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	181									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	182									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	183									
10	10	36	36	3.0	0	0	Chord	4/4	1	1	3/4			1/2	3/2	184							8		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	185							8		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	186									
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	187									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	188									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	189									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	190									
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	191									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	192									
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	193									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	194									
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	195									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	196									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	197									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	198									
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	199									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	200									
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	201									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	202									
10	10	36	36	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	203									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	204									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	205									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	206									
10	10	38	38	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	207									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	208									
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	209									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	210									
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	211							9		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	212									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	213		articStaccatoAbove							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	214		articStaccatoAbove							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	215		articStaccatoAbove					10		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	216		articStaccatoAbove							
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	217									
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	218									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	219									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	220									
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	221									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	222									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	223									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	224									
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	225									
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	226									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	227									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	228									
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	229									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	230									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	231									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	232									
11	11	40	40	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	233									
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	234									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	235									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	236									
11	11	42	42	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	237									
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	238									
11	11	43	43	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	239									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	240									
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1			1	1	241									
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	242									
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	243									
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	244									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	245									
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	246									
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	247									
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	248									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	249									
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	250									
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	251									
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	252									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	253									
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	254									
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	255									
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	256									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	257									
12	12	44	44	0.5	0	0	Chord	4/4	4	1	1/8			1/8	1	258									
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	259									
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	260									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	261									
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	262									
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	263									
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	264									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	265									
13	13	48	48	0.0	0	0	StaffText	4/4	1	1	0								<i>cresc.</i>						
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	266							11		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	267							11		
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	268							11		
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	269									
13	13	48	48	0.0	0	0	StaffText	4/4	2	1	0								<i>cresc.</i>						
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	270									
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	271									
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	272									
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	273									
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	274									
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	275									
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	276									
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	277									
13	13	48	48	0.0	0	0	StaffText	4/4	3	1	0								<i>cresc.</i>						
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	278									
