mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p					
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0				0		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1				0		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	2				0		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	3						
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4		articStaccatoBelow				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	5		articStaccatoBelow				
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p					
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	6				1		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	7				1		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	8				1		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	9						
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	10		articStaccatoBelow				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	11		articStaccatoBelow				
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0					p					
1	1	0	0	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	12				2		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	13				2		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	3	1	1/16		1/16	1	14				2		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	15						
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	16		articStaccatoBelow				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	17		articStaccatoBelow				
1	1	0	0	0.0	0	0	Dynamic	3/4	4	1	0					p					
1	1	0	0	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	18				3		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	19				3		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	4	1	1/16		1/16	1	20				3		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	4	1	1/16		1/16	1	21						
1	1	2	2	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	22		articStaccatoAbove				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	23		articStaccatoAbove				
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	24						
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	25						
2	2	3	3	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	26						
2	2	3	3	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	27						
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	28				4		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	29				4		
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	30				4		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	31						
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	32		articStaccatoBelow				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	33		articStaccatoBelow				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	34				5		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	35				5		
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	36				5		
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	37						
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	38		articStaccatoBelow				
