mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Bb.I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
6	6	0	V7		Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
7	7	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
7	7	1/2	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
8	8	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
9	9	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
10	10	0	V7		Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
11	11	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
11	11	1/2	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
12	12	0	vi		Bb	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
12	12	1/2	V7/V		Bb	I		V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
13	13	0	V\\		Bb	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
13	13	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
14	14	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
14	14	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
15	15	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
15	15	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
16	16	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
16	16	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
17	17	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
17	17	1/4	V/V		Bb	I		V/V	V					V		M	0	0	2, 6, 3		2.0	2.0
17	17	1/2	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
17	17	3/4	V/V		Bb	I		V/V	V					V		M	0	0	2, 6, 3		2.0	2.0
18	18	0	V\\		Bb	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
19	19	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
24	24	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
25	25	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
26	26	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
27	27	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
28	28	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
29	29	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
29	29	1/2	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
30	30	0	vi6		Bb	I		vi6	vi			6				m	0	0	0, 4, 3		3.0	0.0
30	30	1/2	#viio6/V		Bb	I		#viio6/V	#vii		o	6		V		o	0	0	10, 7, 13		13.0	10.0
31	31	0	#viio65/iii		Bb	I		#viio65/iii	#vii		o	65		iii		o7	0	0	6, 3, 0, 9		9.0	6.0
31	31	1/2	iii6		Bb	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
32	32	0	II.ii		Bb	II		ii	ii							m	0	0	2, -1, 3		2.0	2.0
32	32	1/4	ii%7		Bb	II		ii%7	ii		%	7				%7	0	0	2, 1, 8, 0		2.0	2.0
32	32	1/2	V7		Bb	II		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
33	33	0	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
33	33	1/4	I[I		Bb	II	I	I	I							M	0	0	0, 4, 1		0.0	0.0
34	34	0	V2		Bb	II	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
35	35	0	I6		Bb	II	I	I6	I			6				M	0	0	4, 1, 0		0.0	4.0
