mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	4	1	Eb.I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	4	1	V65/ii	Eb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
1	1	2	0.75	1/2	1/2	3/4	4	1	ii(+4)	Eb	I		ii(+4)		ii			+4				m	0	0	2, -1, 3	1	2	2
1	1	11/4	0.25	11/16	11/16	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	3	1.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	4	1.0	1/4	1/4	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	5	1.0	1/2	1/2	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	6	2.5	0	0	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	17/2	0.5	5/8	5/8	3/4	4	1	#vii%7/V	Eb	I		#vii%7/V		#vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
4	4	9	1.0	0	0	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
4	4	10	1.0	1/4	1/4	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	11	1.0	1/2	1/2	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	12	1.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	13	1.0	1/4	1/4	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	14	1.0	1/2	1/2	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	15	1.0	0	0	3/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	16	1.0	1/4	1/4	3/4	4	1	#viio7/vi	Eb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	6	17	0.5	1/2	1/2	3/4	4	1	vi(6)	Eb	I		vi(6)		vi			6				m	0	0	3, 0, -1		3	3
6	6	35/2	0.5	5/8	5/8	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
7	7	18	0.5	0	0	3/4	4	1	ii6(9)	Eb	I		ii6(9)		ii		6	9				m	0	0	-1, 3, 2	4	2	-1
7	7	37/2	0.5	1/8	1/8	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	19	1.0	1/4	1/4	3/4	4	1	V6/ii	Eb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
7	7	20	0.5	1/2	1/2	3/4	4	1	ii	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	7	41/2	0.5	5/8	5/8	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	21	1.0	0	0	3/4	4	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	22	1.0	1/4	1/4	3/4	4	1	vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	8	23	1.0	1/2	1/2	3/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
9	9	24	1.0	0	0	3/4	4	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
9	9	25	1.0	1/4	1/4	3/4	4	1	vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
9	9	26	1.0	1/2	1/2	3/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	27	0.5	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
10	10	55/2	0.5	1/8	1/8	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	28	0.5	1/4	1/4	3/4	4	1	vii%2	Eb	I		vii%2		vii	%	2					%7	0	0	3, 5, 2, -1		5	3
10	10	57/2	0.5	3/8	3/8	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	29	0.75	1/2	1/2	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	119/4	0.25	11/16	11/16	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
11	11	30	1.0	0	0	3/4	4	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
11	11	31	0.5	1/4	1/4	3/4	4	1	V43(+6)	Eb	I		V43(+6)		V		43	+6				Mm7	0	0	2, -1, 1, 5	4	1	2
11	11	63/2	0.5	3/8	3/8	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	32	1.0	1/2	1/2	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	33	1.0	0	0	3/4	4	1	V7/vi	Eb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
12	12	34	1.0	1/4	1/4	3/4	4	1	V65/vi	Eb	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
12	12	35	1.0	1/2	1/2	3/4	4	1	vi.i	Eb	vi		i		i							m	0	1	0, -3, 1		0	0
13	13	36	0.5	0	0	3/4	4	1	ii%65(2)	Eb	vi		ii%65(2)		ii	%	65	2				%7	0	1	-1, -4, 0, -3		2	-1
13	13	73/2	0.5	1/8	1/8	3/4	4	1	ii%65	Eb	vi		ii%65		ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
13	13	37	2.0	1/4	1/4	3/4	4	1	V43/iv	Eb	vi		V43/iv		V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
14	14	39	1.0	0	0	3/4	4	1	iv6	Eb	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
14	14	40	1.0	1/4	1/4	3/4	4	1	IV6	Eb	vi		IV6		IV		6					M	0	1	3, 0, -1		-1	3
14	14	41	1.0	1/2	1/2	3/4	4	1	It6	Eb	vi		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
15	15	42	1.0	0	0	3/4	4	1	V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
15	15	43	2.0	1/4	1/4	3/4	4	1	iv7	Eb	vi		iv7		iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
16	16	45	1.0	0	0	3/4	4	1	V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
16	16	46	2.0	1/4	1/4	3/4	4	1	iv7	Eb	vi		iv7		iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
17	17	48	1.0	0	0	3/4	4	1	V(64)	Eb	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
17	17	49	2.0	1/4	1/4	3/4	4	1	V7	Eb	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
18	18	51	2.0	0	0	3/4	4	1	V/iv	Eb	vi		V/iv		V				iv			M	0	1	0, 4, 1		0	0
18	18	53	1.0	1/2	1/2	3/4	4	1	V7/iv	Eb	vi		V7/iv		V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
19	19	54	0.5	0	0	3/4	4	1	iv	Eb	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
19	19	109/2	1.5	1/8	1/8	3/4	4	1	IV	Eb	vi		IV		IV							M	0	1	-1, 3, 0		-1	-1
19	19	56	1.0	1/2	1/2	3/4	4	1	I.V7/V	Eb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
20	20	57	1.0	0	0	3/4	4	1	V64	Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
20	20	58	1.0	1/4	1/4	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
20	20	59	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
21	21	60	1.0	0	0	3/4	4	1	V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	61	1.0	1/4	1/4	3/4	4	1	V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	62	1.0	1/2	1/2	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	22	63	2.0	0	0	3/4	4	1	V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	22	65	0.5	1/2	1/2	3/4	4	1	#viio6/V	Eb	I		#viio6/V		#vii	o	6		V			o	0	0	3, 0, 6		6	3
22	22	131/2	0.5	5/8	5/8	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
23	23	66	1.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	67	1.0	1/4	1/4	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
23	23	68	1.0	1/2	1/2	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
24	24	69	1.0	0	0	3/4	4	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
24	24	70	1.0	1/4	1/4	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
24	24	71	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	72	1.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	73	1.0	1/4	1/4	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
25	25	74	1.0	1/2	1/2	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	26	75	1.0	0	0	3/4	4	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	76	1.0	1/4	1/4	3/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
26	26	77	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	27	78	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
27	27	80	1.0	1/2	1/2	3/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
28	28	81	3.0	0	0	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
