quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	0.16666666666666666	1	1	0	0	2/4	1	1	1/24		1/16	2/3		-1	77		0
1/6	0.16666666666666666	1	1	1/24	1/24	2/4	1	1	1/24		1/16	2/3		4	76		1
1/3	0.16666666666666666	1	1	1/12	1/12	2/4	1	1	1/24		1/16	2/3		-1	77		2
1/2	0.16666666666666666	1	1	1/8	1/8	2/4	1	1	1/24		1/16	2/3		1	79		3
2/3	0.16666666666666666	1	1	1/6	1/6	2/4	1	1	1/24		1/16	2/3		-1	77		4
5/6	0.16666666666666666	1	1	5/24	5/24	2/4	1	1	1/24		1/16	2/3		4	76		5
1	0.16666666666666666	1	1	1/4	1/4	2/4	1	1	1/24		1/16	2/3		2	74		6
7/6	0.16666666666666666	1	1	7/24	7/24	2/4	1	1	1/24		1/16	2/3		0	72		7
4/3	0.16666666666666666	1	1	1/3	1/3	2/4	1	1	1/24		1/16	2/3		-2	70		8
3/2	0.16666666666666666	1	1	3/8	3/8	2/4	1	1	1/24		1/16	2/3		3	69		9
5/3	0.16666666666666666	1	1	5/12	5/12	2/4	1	1	1/24		1/16	2/3		1	67		10
11/6	0.16666666666666666	1	1	11/24	11/24	2/4	1	1	1/24		1/16	2/3		-1	65		11
2	0.5	2	2	0	0	2/4	4	1	1/8		1/8	1		1	43		21
2	0.5	2	2	0	0	2/4	3	1	1/8		1/8	1		0	48		18
2	0.5	2	2	0	0	2/4	2	1	1/8		1/8	1		-2	58		15
2	0.5	2	2	0	0	2/4	1	1	1/8		1/8	1		4	64		12
5/2	0.5	2	2	1/8	1/8	2/4	4	1	1/8		1/8	1		1	43		22
5/2	0.5	2	2	1/8	1/8	2/4	3	1	1/8		1/8	1		0	48		19
5/2	0.5	2	2	1/8	1/8	2/4	2	1	1/8		1/8	1		-2	58		16
5/2	0.5	2	2	1/8	1/8	2/4	1	1	1/8		1/8	1		4	64		13
3	0.5	2	2	1/4	1/4	2/4	4	1	1/8		1/8	1		4	40		23
3	0.5	2	2	1/4	1/4	2/4	3	1	1/8		1/8	1		0	48		20
3	0.5	2	2	1/4	1/4	2/4	2	1	1/8		1/8	1		-2	58		17
3	0.5	2	2	1/4	1/4	2/4	1	1	1/8		1/8	1		1	67		14
4	0.16666666666666666	3	3	0	0	2/4	1	1	1/24		1/16	2/3		1	79		24
25/6	0.16666666666666666	3	3	1/24	1/24	2/4	1	1	1/24		1/16	2/3		6	78		25
13/3	0.16666666666666666	3	3	1/12	1/12	2/4	1	1	1/24		1/16	2/3		1	79		26
9/2	0.16666666666666666	3	3	1/8	1/8	2/4	1	1	1/24		1/16	2/3		3	81		27
14/3	0.16666666666666666	3	3	1/6	1/6	2/4	1	1	1/24		1/16	2/3		1	79		28
29/6	0.16666666666666666	3	3	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-1	77		29
5	0.16666666666666666	3	3	1/4	1/4	2/4	1	1	1/24		1/16	2/3		4	76		30
31/6	0.16666666666666666	3	3	7/24	7/24	2/4	1	1	1/24		1/16	2/3		2	74		31
16/3	0.16666666666666666	3	3	1/3	1/3	2/4	1	1	1/24		1/16	2/3		0	72		32
11/2	0.16666666666666666	3	3	3/8	3/8	2/4	1	1	1/24		1/16	2/3		-2	70		33
17/3	0.16666666666666666	3	3	5/12	5/12	2/4	1	1	1/24		1/16	2/3		3	69		34
35/6	0.16666666666666666	3	3	11/24	11/24	2/4	1	1	1/24		1/16	2/3		1	67		35
6	0.5	4	4	0	0	2/4	4	1	1/8		1/8	1		3	45		45
6	0.5	4	4	0	0	2/4	3	1	1/8		1/8	1		0	48		42
6	0.5	4	4	0	0	2/4	2	1	1/8		1/8	1		0	60		39
6	0.5	4	4	0	0	2/4	1	1	1/8		1/8	1		-1	65		36
13/2	0.5	4	4	1/8	1/8	2/4	4	1	1/8		1/8	1		3	45		46
13/2	0.5	4	4	1/8	1/8	2/4	3	1	1/8		1/8	1		0	48		43
13/2	0.5	4	4	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60		40
13/2	0.5	4	4	1/8	1/8	2/4	1	1	1/8		1/8	1		-1	65		37
7	0.5	4	4	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	41		47
7	0.5	4	4	1/4	1/4	2/4	3	1	1/8		1/8	1		0	48		44
7	0.5	4	4	1/4	1/4	2/4	2	1	1/8		1/8	1		3	57		41
7	0.5	4	4	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		38
8	0.16666666666666666	5	5	0	0	2/4	1	1	1/24		1/16	2/3		0	72		48
49/6	0.16666666666666666	5	5	1/24	1/24	2/4	1	1	1/24		1/16	2/3		5	71		49
25/3	0.16666666666666666	5	5	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		50
17/2	0.5	5	5	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		61
17/2	1.0	5	5	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		59
17/2	0.5	5	5	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		56
17/2	0.16666666666666666	5	5	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		51
26/3	0.16666666666666666	5	5	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		52
53/6	0.16666666666666666	5	5	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-2	70		53
9	0.5	5	5	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		62
9	0.5	5	5	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		57
9	0.5	5	5	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		54
19/2	0.5	5	5	3/8	3/8	2/4	4	1	1/8		1/8	1		-1	41		63
19/2	0.5	5	5	3/8	3/8	2/4	3	1	1/8		1/8	1		0	60		60
19/2	0.5	5	5	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		58
19/2	0.25	5	5	3/8	3/8	2/4	1	1	1/16		1/16	1		-1	77		55
10	0.16666666666666666	6	6	0	0	2/4	1	1	1/24		1/16	2/3		0	72		64
61/6	0.16666666666666666	6	6	1/24	1/24	2/4	1	1	1/24		1/16	2/3		5	71		65
31/3	0.16666666666666666	6	6	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		66
21/2	0.5	6	6	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		77
21/2	1.0	6	6	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		75
21/2	0.5	6	6	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		72
21/2	0.16666666666666666	6	6	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		67
32/3	0.16666666666666666	6	6	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		68
65/6	0.16666666666666666	6	6	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-2	70		69
11	0.5	6	6	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		78
11	0.5	6	6	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		73
11	0.5	6	6	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		70
23/2	0.5	6	6	3/8	3/8	2/4	4	1	1/8		1/8	1		-1	41		79
23/2	0.5	6	6	3/8	3/8	2/4	3	1	1/8		1/8	1		0	60		76
23/2	0.5	6	6	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		74
23/2	0.25	6	6	3/8	3/8	2/4	1	1	1/16		1/16	1		3	81		71
